enterprise_id,Sector,Enterprise Country Headquarters,Workforce Size,Year,Enterprise IT Budget Estimate,Cloud Service Revenues,Other Service Revenues,Non-Surface Product Revenues,Surface Product Revenues,Office Products Revenues
95,Technology and Consulting,China,4,2015,6136,929.6969697,249.4308943,0,350.6285714,480
96,Technology and Consulting,India,48,2015,97632,10498.06452,4739.417476,0,5515.932203,5760
97,Financial Services,China,61,2015,76250,26293.10345,4485.294118,0,3388.888889,10980
98,Healthcare,South Korea,42,2015,50778,13362.63158,2538.9,0,1744.948454,5040
99,Other,Singapore,2,2015,2266,200.5309735,76.2962963,323.7142857,0,240
100,Education,China,31,2015,56389,6876.707317,1688.293413,15663.61111,0,3720
101,Financial Services,India,610,2015,1080310,291975.6757,71543.70861,0,54838.07107,153720
102,Technology and Consulting,India,20,2015,30520,2543.333333,1134.572491,10173.33333,0,2400
103,Education,China,12,2015,22392,1805.806452,664.4510386,3928.421053,0,1440
104,Financial Services,Singapore,30,2015,55590,16845.45455,2082.022472,0,3657.236842,3600
105,Technology and Consulting,China,110,2015,0,0,0,0,0,0
106,Technology and Consulting,South Korea,5,2015,7240,1448,227.672956,2335.483871,0,600
107,Healthcare,South Korea,103,2015,143891,57556.4,4400.336391,22137.07692,0,18540
108,Other,China,13,2015,16861,1162.827586,585.4513889,2810.166667,0,1560
109,Other,China,13,2015,14794,2550.689655,539.9270073,2465.666667,0,1560
110,Technology and Consulting,China,2090,2015,6719350,463403.4483,579254.3103,1199883.929,0,601920
111,Technology and Consulting,China,16,2015,0,0,0,0,0,0
112,Other,China,53,2015,76532,11774.15385,2855.671642,9687.594937,0,9540
113,Healthcare,India,48,2015,74400,29760,2275.229358,10333.33333,0,5760
114,Healthcare,China,8,2015,8848,3160,383.030303,1149.090909,0,960
115,Other,India,45,2015,52965,3838.043478,3190.662651,8827.5,0,5400
116,Technology and Consulting,China,43,2015,65102,7000.215054,4255.03268,0,5292.845528,5160
117,Technology and Consulting,South Korea,28,2015,41328,0,3472.941176,8610,3593.73913,3360
118,Technology and Consulting,South Korea,70,2015,123270,15218.51852,3542.241379,34241.66667,0,12600
119,Technology and Consulting,China,33,2015,50490,6083.13253,2744.021739,8857.894737,0,3960
120,Education,South Korea,49,2015,70658,4975.915493,4334.846626,13854.5098,0,5880
121,Education,India,25,2015,39400,4147.368421,2493.670886,0,2345.238095,3000
122,Healthcare,China,25,2015,31225,11151.78571,1033.940397,0,1269.308943,3000
123,Technology and Consulting,India,36,2015,68832,8604,2709.92126,16788.29268,0,4320
124,Financial Services,China,12,2015,0,0,0,0,0,0
125,Technology and Consulting,China,15,2015,21690,2931.081081,1239.428571,0,1538.297872,1800
126,Other,China,40,2015,48360,5897.560976,2492.783505,0,3335.172414,4800
127,Healthcare,South Korea,37,2015,41773,11603.61111,3315.31746,5801.805556,0,4440
128,Financial Services,China,5,2015,5450,2018.518519,328.313253,0,328.313253,600
129,Technology and Consulting,South Korea,30,2015,45570,3704.878049,3186.713287,9493.75,0,3600
130,Technology and Consulting,India,119,2015,260372,22839.64912,10714.89712,55398.29787,0,21420
131,Other,Singapore,32,2015,41504,5321.025641,1227.928994,0,2594,3840
132,Education,China,18,2015,34146,4377.692308,2120.869565,10670.625,0,2160
133,Education,China,9,2015,16056,1326.942149,1198.208955,4587.428571,0,1080
134,Financial Services,India,42,2015,40446,12256.36364,1881.209302,5119.746835,0,5040
135,Financial Services,Singapore,49,2015,93884,34771.85185,4248.144796,0,5020.534759,5880
136,Financial Services,South Korea,7,2015,8183,2211.621622,771.9811321,1704.791667,0,840
137,Other,South Korea,35,2015,40845,2959.782609,2052.512563,0,1547.159091,4200
138,Technology and Consulting,Singapore,36,2015,49032,4120.336134,1690.758621,11402.7907,0,4320
139,Other,China,47,2015,57434,4161.884058,2552.622222,0,2721.990521,5640
140,Healthcare,South Korea,12,2015,15288,4368,878.6206897,2779.636364,0,1440
141,Other,China,13,2015,16731,1879.88764,845,0,804.375,1560
142,Other,China,37,2015,46990,6526.388889,3091.447368,0,2900.617284,4440
143,Technology and Consulting,China,295,2015,775260,0,52382.43243,133665.5172,57426.66667,60180
144,Financial Services,Singapore,3,2015,5958,1702.285714,184.4582043,1241.25,0,360
145,Education,China,21,2015,38493,4999.090909,3030.944882,12417.09677,0,2520
146,Education,India,21,2015,32235,2518.359375,1723.796791,0,2708.823529,2520
147,Other,China,38,2015,0,0,0,0,0,0
148,Other,South Korea,15,2015,17655,1983.707865,905.3846154,3923.333333,0,1800
149,Education,South Korea,24,2015,35712,3337.570093,1275.428571,9397.894737,0,2880
150,Technology and Consulting,China,116,2015,223184,34336,9703.652174,61995.55556,0,20880
151,Education,China,21,2015,0,0,0,0,0,0
152,Education,China,41,2015,76916,0,3752,25638.66667,4605.748503,4920
153,Technology and Consulting,South Korea,40,2015,61800,5885.714286,3218.75,0,4012.987013,4800
154,Technology and Consulting,South Korea,243,2015,0,0,0,0,0,0
155,Healthcare,China,95,2015,127205,47112.96296,6360.25,0,8958.098592,17100
156,Other,Singapore,24,2015,30840,2994.174757,963.75,3855,0,2880
157,Education,China,47,2015,85211,9467.888889,4057.666667,23669.72222,0,5640
158,Technology and Consulting,China,33,2015,48378,0,1662.474227,8958.888889,2812.674419,3960
159,Technology and Consulting,China,9,2015,14067,0,450.8653846,2992.978723,1192.118644,1080
160,Education,South Korea,19,2015,0,0,0,0,0,0
161,Financial Services,South Korea,357,2015,685440,214200,39393.10345,0,33932.67327,72828
162,Education,China,10,2015,17960,0,1618.018018,4726.315789,1282.857143,1200
163,Healthcare,Singapore,29,2015,37468,9607.179487,2341.75,0,1338.142857,3480
164,Other,India,19,2015,24035,3815.079365,1767.279412,3292.465753,0,2280
165,Education,China,16,2015,28480,2520.353982,0,5178.181818,2738.461538,1920
166,Healthcare,China,9,2015,11313,3232.285714,343.8601824,2134.528302,0,1080
167,Education,China,167,2015,365563,35150.28846,12391.9661,66466,0,30060
168,Education,India,47,2015,71393,5851.885246,3259.954338,0,4635.909091,5640
169,Healthcare,India,753,2015,2403576,801192,127173.3333,522516.5217,0,189756
170,Other,China,27,2015,0,0,0,0,0,0
171,Other,India,9,2015,0,0,0,0,0,0
172,Other,India,3,2015,3480,570.4918033,126.0869565,552.3809524,0,360
173,Other,China,24,2015,30288,4732.5,1992.631579,6444.255319,0,2880
174,Financial Services,South Korea,25,2015,32850,11327.58621,1506.880734,4006.097561,0,3000
175,Technology and Consulting,India,35,2015,48545,8227.966102,4149.145299,8668.75,0,4200
176,Technology and Consulting,India,85,2015,219725,41457.54717,8789,0,16520.67669,15300
177,Other,South Korea,28,2015,32088,2587.741935,2608.780488,5834.181818,0,3360
178,Technology and Consulting,South Korea,15,2015,22350,2235,2212.871287,4382.352941,0,1800
179,Education,India,36,2015,53748,6323.294118,3317.777778,9429.473684,0,4320
180,Other,China,49,2015,57722,0,1712.818991,10890.9434,2477.339056,5880
181,Education,India,13,2015,20137,2548.987342,1650.57377,3729.074074,0,1560
182,Other,China,37,2015,46435,3902.10084,2684.104046,6729.710145,0,4440
183,Technology and Consulting,India,29,2015,52461,3593.219178,3406.558442,10706.32653,0,3480
184,Education,China,7,2015,12432,949.0076336,679.3442623,2345.660377,0,840
185,Healthcare,China,83,2015,107900,0,8052.238806,14986.11111,5113.744076,14940
186,Other,India,907,2015,1711509,125846.25,58814.74227,0,69857.5102,228564
187,Other,China,38,2015,45904,4250.37037,3187.777778,5530.60241,0,4560
188,Healthcare,South Korea,8,2015,9344,2458.947368,302.394822,1139.512195,0,960
189,Other,China,33,2015,41613,3715.446429,3329.04,5137.407407,0,3960
190,Education,South Korea,38,2015,0,0,0,0,0,0
191,Financial Services,India,12,2015,10860,3102.857143,390.647482,1508.333333,0,1440
192,Education,China,17,2015,31416,4833.230769,1075.890411,8490.810811,2473.700787,2040
193,Financial Services,China,41,2015,0,0,0,0,0,0
194,Financial Services,Singapore,37,2015,67155,17219.23077,5504.508197,8954,0,4440
195,Financial Services,China,44,2015,46420,13652.94118,1799.224806,0,2221.052632,5280
196,Other,Singapore,31,2015,38967,4190,1701.615721,8118.125,2106.324324,3720
197,Education,India,41,2015,63919,6947.717391,2307.545126,14204.22222,0,4920
198,Other,India,38,2015,42560,0,2076.097561,6547.692308,1891.555556,4560
199,Other,India,33,2015,0,0,0,0,0,0
200,Education,India,41,2015,0,0,0,0,0,0
201,Education,China,4,2015,0,0,0,0,0,0
202,Other,India,22,2015,28556,3138.021978,2549.642857,0,1102.548263,2640
203,Education,India,6,2015,0,0,0,0,0,0
204,Healthcare,China,7,2015,8666,2222.051282,290.8053691,1444.333333,0,840
205,Education,India,30,2015,48660,0,3041.25,15206.25,3310.204082,3600
206,Education,China,198,2015,425106,0,31724.32836,77292,23617,35640
207,Technology and Consulting,China,4,2015,6344,689.5652174,0,1586,463.0656934,480
208,Education,South Korea,14,2015,21462,1866.26087,1578.088235,5800.540541,0,1680
209,Healthcare,China,44,2015,50072,17882.85714,3053.170732,10653.61702,0,5280
210,Technology and Consulting,India,175,2015,295050,22184.21053,19935.81081,57852.94118,0,31500
211,Technology and Consulting,India,48,2015,90960,13182.6087,3001.980198,0,7517.355372,5760
212,Other,China,85,2015,113050,0,10004.42478,17128.78788,5115.384615,15300
213,Other,India,22,2015,27940,5271.698113,2253.225806,0,1981.560284,2640
214,Technology and Consulting,South Korea,178,2015,310432,62086.4,16871.30435,62086.4,0,32040
215,Other,India,49,2015,55811,6342.159091,2395.321888,8088.550725,0,5880
216,Technology and Consulting,South Korea,21,2015,29526,3990,1354.40367,6025.714286,0,2520
217,Financial Services,Singapore,40,2015,81880,28234.48276,2872.982456,15746.15385,0,4800
218,Education,India,12,2015,18744,0,991.7460317,4932.631579,1802.307692,1440
219,Healthcare,Singapore,28,2015,0,0,0,0,0,0
220,Healthcare,Singapore,10,2015,12250,3500,546.875,1590.909091,0,1200
221,Healthcare,China,5,2015,5800,1870.967742,170.0879765,725,0,600
222,Technology and Consulting,South Korea,422,2015,915740,88906.79612,37530.32787,0,83249.09091,86088
223,Other,China,16,2015,18608,0,1442.48062,3322.857143,1094.588235,1920
224,Healthcare,South Korea,21,2015,24171,6197.692308,1015.588235,4648.269231,0,2520
225,Technology and Consulting,China,2,2015,2698,0,81.51057402,599.5555556,191.3475177,240
226,Healthcare,Singapore,33,2015,37686,9917.368421,2855,5307.887324,0,3960
227,Healthcare,India,36,2015,57024,21932.30769,1765.448916,12132.76596,0,4320
228,Education,India,30,2015,44730,6881.538462,2512.921348,0,2354.210526,3600
229,Technology and Consulting,China,14,2015,21770,3511.290323,0,3887.5,1555,1680
230,Technology and Consulting,India,130,2015,274430,34303.75,20479.85075,48145.61404,0,23400
231,Financial Services,India,45,2015,0,0,0,0,0,0
232,Technology and Consulting,South Korea,133,2015,251370,24404.85437,23492.52336,59850,0,23940
233,Financial Services,India,26,2015,23998,9599.2,2016.638655,0,1111.018519,3120
234,Healthcare,China,21,2015,25977,9991.153846,764.0294118,0,898.8581315,2520
235,Financial Services,China,132,2015,166188,66475.2,8700.942408,26804.51613,0,23760
236,Technology and Consulting,India,25,2015,46775,6682.142857,1751.872659,8662.037037,0,3000
237,Education,India,46,2015,70564,10226.66667,4410.25,0,4175.384615,5520
238,Financial Services,India,37,2015,38665,14871.15385,1400.905797,0,2864.074074,4440
239,Education,China,14,2015,26306,1963.134328,1283.219512,5158.039216,0,1680
240,Technology and Consulting,South Korea,4,2015,6016,847.3239437,192.2044728,0,360.239521,480
241,Healthcare,China,27,2015,0,0,0,0,0,0
242,Financial Services,South Korea,34,2015,40392,13029.67742,1392.827586,4808.571429,0,4080
243,Technology and Consulting,China,42,2015,64302,5063.149606,2613.902439,20742.58065,4659.565217,5040
244,Other,China,31,2015,38378,7107.037037,1728.738739,6091.746032,0,3720
245,Financial Services,China,38,2015,41382,13794,0,7260,2492.891566,4560
246,Other,India,19,2015,23408,1672,1410.120482,0,1300.444444,2280
247,Financial Services,China,64,2015,77440,24980.64516,3396.491228,15184.31373,0,11520
248,Healthcare,China,41,2015,49364,19745.6,4656.981132,0,3886.929134,4920
249,Other,China,6,2015,7086,761.9354839,409.5953757,908.4615385,0,720
250,Healthcare,South Korea,27,2015,30267,11210,1663.021978,6305.625,0,3240
251,Technology and Consulting,India,14,2015,0,0,0,0,0,0
252,Education,China,269,2015,709891,0,21254.22156,126766.25,68921.45631,54876
253,Technology and Consulting,China,20,2015,27520,3822.222222,932.8813559,0,1554.80226,2400
254,Education,China,20,2015,37160,4703.797468,1821.568627,10617.14286,0,2400
255,Other,Singapore,5,2015,0,0,0,0,0,0
256,Technology and Consulting,South Korea,38,2015,54568,4400.645161,3662.281879,0,4624.40678,4560
257,Education,India,436,2015,844096,0,25272.33533,156314.0741,44193.50785,88944
258,Technology and Consulting,China,134,2015,272824,0,9572.77193,82673.93939,15241.56425,24120
259,Education,China,40,2015,73040,6242.735043,3580.392157,0,4057.777778,4800
260,Financial Services,Singapore,27,2015,51408,17726.89655,1896.97417,9699.622642,0,3240
261,Technology and Consulting,India,46,2015,88872,6440,8305.794393,0,5227.764706,5520
262,Education,South Korea,7,2015,10633,781.8382353,993.7383178,1802.20339,0,840
263,Education,China,34,2015,0,0,0,0,0,0
264,Technology and Consulting,China,8,2015,12024,1036.551724,556.6666667,2226.666667,0,960
265,Healthcare,China,9,2015,0,0,0,0,0,0
266,Education,Singapore,14,2015,0,0,0,0,0,0
267,Other,Singapore,3,2015,3585,0,106.0650888,431.9277108,225.4716981,360
268,Education,China,44,2015,79376,0,3239.836735,19360,6726.779661,5280
269,Education,India,22,2015,34870,3917.977528,1854.787234,8109.302326,0,2640
270,Technology and Consulting,China,26,2015,35412,3278.888889,3541.2,8048.181818,0,3120
271,Technology and Consulting,China,28,2015,38724,5232.972973,1387.956989,0,3338.275862,3360
272,Technology and Consulting,China,188,2015,398372,41069.27835,27858.18182,79674.4,0,33840
273,Healthcare,China,331,2015,477633,154075.1613,19337.36842,67272.25352,0,67524
274,Other,South Korea,150,2015,211350,16773.80952,6752.396166,30192.85714,0,27000
275,Education,China,22,2015,41096,3261.587302,1550.792453,0,3512.478632,2640
276,Financial Services,Singapore,31,2015,0,0,0,0,0,0
277,Education,China,86,2015,195736,22498.3908,8364.786325,36931.32075,0,15480
278,Technology and Consulting,China,106,2015,177974,20224.31818,5409.544073,0,13690.30769,19080
279,Technology and Consulting,India,8,2015,0,0,0,0,0,0
280,Education,India,24,2015,0,0,0,0,0,0
281,Healthcare,South Korea,25,2015,30825,7903.846154,1460.900474,0,1300.632911,3000
282,Healthcare,Singapore,29,2015,36250,11693.54839,3152.173913,4367.46988,0,3480
283,Technology and Consulting,India,167,2015,0,0,0,0,0,0
284,Education,China,39,2015,0,0,0,0,0,0
285,Technology and Consulting,China,46,2015,0,0,0,0,0,0
286,Healthcare,China,32,2015,37984,13565.71429,1314.32526,5935,0,3840
287,Other,India,15,2015,18180,3246.428571,804.4247788,0,757.5,1800
288,Financial Services,India,470,2015,728500,291400,25833.33333,0,40926.96629,95880
289,Technology and Consulting,India,38,2015,59470,4340.875912,0,12389.58333,3836.774194,4560
290,Other,China,22,2015,25058,4474.642857,816.2214984,3212.564103,0,2640
291,Healthcare,China,111,2015,150849,53874.64286,6888.082192,20113.2,0,19980
292,Financial Services,South Korea,23,2015,29026,8537.058824,2845.686275,4607.301587,0,2760
293,Financial Services,India,13,2015,13039,3431.315789,595.3881279,1762.027027,0,1560
294,Other,India,11,2015,12540,1717.808219,495.6521739,0,889.3617021,1320
295,Education,India,18,2015,26802,4187.8125,917.8767123,7243.783784,0,2160
296,Financial Services,India,67,2015,85559,23124.05405,2673.71875,10434.02439,0,12060
297,Other,South Korea,27,2015,32697,2209.256757,1993.719512,0,1345.555556,3240
298,Financial Services,South Korea,72,2015,100440,31387.5,3863.076923,20088,0,12960
299,Technology and Consulting,China,59,2015,98294,7227.5,3737.414449,0,5553.333333,10620
300,Other,India,858,2015,0,0,0,0,0,0
301,Technology and Consulting,China,4,2015,6392,0,202.9206349,1598,466.5693431,480
302,Other,China,18,2015,20250,0,854.4303797,4402.173913,806.7729084,2160
303,Technology and Consulting,India,17,2015,26537,2527.333333,804.1515152,6983.421053,0,2040
304,Financial Services,Singapore,836,2015,2694428,962295.7143,149690.4444,421004.375,0,210672
305,Education,China,49,2015,87171,17434.2,4190.913462,19371.33333,0,5880
306,Technology and Consulting,China,34,2015,47668,5296.444444,3356.901408,15376.77419,0,4080
307,Financial Services,India,6,2015,6072,1556.923077,303.6,0,250.9090909,720
308,Education,China,23,2015,0,0,0,0,0,0
309,Technology and Consulting,Singapore,14,2015,16086,2924.727273,940.7017544,3923.414634,0,1680
310,Education,China,35,2015,64435,4324.496644,0,15715.85366,3464.247312,4200
311,Education,India,26,2015,41262,8252.4,1305.759494,7238.947368,0,3120
312,Education,China,3,2015,5568,0,193.3333333,1294.883721,409.4117647,360
313,Technology and Consulting,South Korea,5,2015,7480,550,359.6153846,1312.280702,0,600
314,Healthcare,India,70,2015,145180,41480,7332.323232,0,8110.614525,12600
315,Financial Services,South Korea,55,2015,74195,27479.62963,6032.113821,11966.93548,0,9900
316,Technology and Consulting,China,26,2015,38038,2641.527778,2817.62963,12679.33333,0,3120
317,Financial Services,Singapore,980,2015,2956660,953761.2903,109101.845,469311.1111,0,246960
318,Other,China,30,2015,34380,4982.608696,1127.213115,4842.253521,0,3600
319,Healthcare,India,354,2015,904470,238018.4211,52281.50289,188431.25,0,72216
320,Other,China,6,2015,7758,615.7142857,232.972973,1491.923077,0,720
321,Education,India,18,2015,26568,2554.615385,1111.631799,0,1845,2160
322,Technology and Consulting,India,16,2015,31104,3240,1065.205479,6912,0,1920
323,Technology and Consulting,India,26,2015,46488,3297.021277,1823.058824,8155.789474,0,3120
324,Financial Services,South Korea,17,2015,20859,6518.4375,1879.189189,2607.375,0,2040
325,Healthcare,South Korea,35,2015,43190,13087.87879,4036.448598,5998.611111,0,4200
326,Financial Services,South Korea,12,2015,0,0,0,0,0,0
327,Education,China,154,2015,338184,0,12387.69231,62626.66667,23163.28767,27720
328,Other,South Korea,15,2015,17730,1809.183673,529.2537313,2332.894737,0,1800
329,Education,China,7,2015,12558,1932,409.0553746,0,725.8959538,840
330,Technology and Consulting,India,185,2015,0,0,0,0,0,0
331,Education,China,259,2015,665630,50426.51515,55469.16667,0,64002.88462,52836
332,Other,China,16,2015,17680,2130.120482,1140.645161,0,782.300885,1920
333,Other,India,30,2015,38430,3176.033058,1235.691318,0,2401.875,3600
334,Other,India,27,2015,33102,2878.434783,2955.535714,0,1484.394619,3240
335,Education,China,11,2015,20075,4015,781.1284047,3717.592593,0,1320
336,Education,South Korea,8,2015,12112,1459.277108,406.442953,0,1187.45098,960
337,Healthcare,South Korea,22,2015,27390,10144.44444,1141.25,3423.75,0,2640
338,Technology and Consulting,China,48,2015,66480,9363.380282,2090.566038,19552.94118,0,5760
339,Technology and Consulting,South Korea,11,2015,0,0,0,0,0,0
340,Technology and Consulting,China,42,2015,0,0,0,0,0,0
341,Other,Singapore,8,2015,9896,804.5528455,603.4146341,1413.714286,0,960
342,Financial Services,Singapore,46,2015,99452,35518.57143,9655.533981,14007.32394,0,5520
343,Healthcare,China,48,2015,55632,16362.35294,1842.119205,8692.5,0,5760
344,Financial Services,Singapore,11,2015,23892,6457.297297,838.3157895,0,815.4266212,1320
345,Technology and Consulting,India,151,2015,0,0,0,0,0,0
346,Technology and Consulting,South Korea,132,2015,248424,38816.25,12938.75,42831.72414,0,23760
347,Other,India,23,2015,26680,3102.325581,1062.948207,0,1865.734266,2760
348,Technology and Consulting,China,66,2015,0,0,0,0,0,0
349,Education,China,28,2015,51492,4291,4681.090909,9715.471698,0,3360
350,Technology and Consulting,India,10,2015,20030,1390.972222,631.8611987,4172.916667,0,1200
351,Technology and Consulting,China,23,2015,33005,2324.295775,1213.419118,6227.358491,0,2760
352,Technology and Consulting,China,199,2015,358001,0,16729.01869,108485.1515,19562.89617,35820
353,Education,Singapore,151,2015,248697,31087.125,9314.494382,56522.04545,0,27180
354,Education,China,138,2015,323058,29638.34862,0,67303.75,18673.87283,24840
355,Healthcare,South Korea,22,2015,26026,7886.666667,1899.708029,4197.741935,0,2640
356,Financial Services,China,160,2015,203520,65651.6129,8044.268775,0,12042.60355,28800
357,Technology and Consulting,China,178,2015,376470,26890.71429,12590.9699,96530.76923,0,32040
358,Technology and Consulting,India,36,2015,0,0,0,0,0,0
359,Education,China,32,2015,57536,4169.275362,2820.392157,11742.04082,0,3840
360,Other,India,46,2015,53452,4730.265487,2953.149171,8351.875,0,5520
361,Technology and Consulting,China,22,2015,32318,2885.535714,2112.287582,6463.6,0,2640
